ds_name,algo_name,hc_cat_encoder,J,exp_key,train_samples,train_dim,test_samples,test_dim,hc_name,fold,other_cat_encoder,measure,performance,hc_cat_encoder_baseline,performance_baseline,relative_performance
Adult,DT,mhe+te,8.0,DT_Adult_native-country_1_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,1.0,TargetEncoder,Accuracy,0.8363475056302464,TargetEncoder,0.8350508428308197,1.001552795031056
Adult,DT,mhe+te,8.0,DT_Adult_native-country_1_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,1.0,TargetEncoder,Precision,0.6798722044728435,TargetEncoder,0.6756585211044113,1.0062364097200234
Adult,DT,mhe+te,8.0,DT_Adult_native-country_1_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,1.0,TargetEncoder,Recall,0.6038592508513053,TargetEncoder,0.6041430192962542,0.9995302959135745
Adult,DT,mhe+te,8.0,DT_Adult_native-country_1_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,1.0,TargetEncoder,F1,0.6396152690111212,TargetEncoder,0.6379026217228464,1.002684809922319
Adult,DT,mhe+te,8.0,DT_Adult_native-country_1_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,1.0,TargetEncoder,Aver_precision,0.505817713120214,TargetEncoder,0.503396726595382,1.0048093012864938
Adult,DT,mhe+te,8.0,DT_Adult_native-country_1_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,1.0,TargetEncoder,Balanced_accuracy,0.7569121036357345,TargetEncoder,0.7561554345290689,1.0010006793208288
Adult,DT,mhe+te,8.0,DT_Adult_native-country_1_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,1.0,TargetEncoder,train_time(s),0.2025816440582275,TargetEncoder,0.2025554180145263,1.0001294758933543
Adult,DT,mhe+te,8.0,DT_Adult_native-country_1_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,1.0,TargetEncoder,pred_time(s),0.001871109008789,TargetEncoder,0.0018966197967529,0.9865493400376948
Adult,DT,mhe+te,8.0,DT_Adult_native-country_2_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,2.0,TargetEncoder,AUC,0.7638054476465805,TargetEncoder,0.7677660820559026,0.9948413527220212
Adult,DT,mhe+te,8.0,DT_Adult_native-country_2_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,2.0,TargetEncoder,Accuracy,0.8347096157783389,TargetEncoder,0.8379853954821538,0.9960908868800392
Adult,DT,mhe+te,8.0,DT_Adult_native-country_2_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,2.0,TargetEncoder,Precision,0.6751054852320675,TargetEncoder,0.6828899637243047,0.9886006839963168
