ds_name,algo_name,J,exp_key,train_samples,train_dim,test_samples,test_dim,hc_name,fold,hc_cat_encoder,other_cat_encoder,measure,performance,hc_cat_encoder_baseline,performance_baseline,relative_performance
Adult,DT,2.0,DT_Adult_native-country_0_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,0.0,mhe+te,TargetEncoder,Precision,0.6667720518495099,TargetEncoder,0.6678211586901763,0.9984290601952116
Adult,DT,2.0,DT_Adult_native-country_0_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,0.0,mhe+te,TargetEncoder,Recall,0.6107732406602954,TargetEncoder,0.6142484795829714,0.9943422913719944
Adult,DT,2.0,DT_Adult_native-country_0_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,0.0,mhe+te,TargetEncoder,F1,0.6375453446191053,TargetEncoder,0.6399155227032736,0.9962961078453674
Adult,DT,2.0,DT_Adult_native-country_0_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,0.0,mhe+te,TargetEncoder,Aver_precision,0.4989683585966574,TargetEncoder,0.501111018139643,0.9957241819368888
Adult,DT,2.0,DT_Adult_native-country_0_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,0.0,mhe+te,TargetEncoder,Balanced_accuracy,0.7583330489015763,TargetEncoder,0.7600260255057714,0.9977724754845488
Adult,DT,2.0,DT_Adult_native-country_0_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,0.0,mhe+te,TargetEncoder,train_time(s),0.2024900913238525,TargetEncoder,0.2025492191314697,0.999708081779477
Adult,DT,2.0,DT_Adult_native-country_0_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,0.0,mhe+te,TargetEncoder,pred_time(s),0.0019624233245849,TargetEncoder,0.0018951892852783,1.0354761605233151
Adult,DT,2.0,DT_Adult_native-country_1_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,1.0,mhe+te,TargetEncoder,AUC,0.7571603659651661,TargetEncoder,0.7561554345290689,1.001329001142104
Adult,DT,2.0,DT_Adult_native-country_1_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,1.0,mhe+te,TargetEncoder,Accuracy,0.8371664505562001,TargetEncoder,0.8350508428308197,1.002533507682249
Adult,DT,2.0,DT_Adult_native-country_1_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,1.0,mhe+te,TargetEncoder,Precision,0.6828406169665809,TargetEncoder,0.6756585211044113,1.0106297717527932
Adult,DT,2.0,DT_Adult_native-country_1_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,1.0,mhe+te,TargetEncoder,Recall,0.6030079455164585,TargetEncoder,0.6041430192962542,0.9981211836542976
Adult,DT,2.0,DT_Adult_native-country_1_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,1.0,mhe+te,TargetEncoder,F1,0.6404460518384569,TargetEncoder,0.6379026217228464,1.0039871761441288
Adult,DT,2.0,DT_Adult_native-country_1_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,1.0,mhe+te,TargetEncoder,Aver_precision,0.5072336468363147,TargetEncoder,0.503396726595382,1.0076220603715142
Adult,DT,2.0,DT_Adult_native-country_1_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,1.0,mhe+te,TargetEncoder,Balanced_accuracy,0.7571603659651661,TargetEncoder,0.7561554345290689,1.001329001142104
Adult,DT,2.0,DT_Adult_native-country_1_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,1.0,mhe+te,TargetEncoder,train_time(s),0.2009305953979492,TargetEncoder,0.2025554180145263,0.9919783798799172
Adult,DT,2.0,DT_Adult_native-country_1_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,1.0,mhe+te,TargetEncoder,pred_time(s),0.0018727779388427,TargetEncoder,0.0018966197967529,0.987429289754848
Adult,DT,2.0,DT_Adult_native-country_2_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,2.0,mhe+te,TargetEncoder,AUC,0.7646956630809338,TargetEncoder,0.7677660820559026,0.9960008405597356
Adult,DT,2.0,DT_Adult_native-country_2_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,2.0,mhe+te,TargetEncoder,Accuracy,0.8349143520098273,TargetEncoder,0.8379853954821538,0.9963352064500368
Adult,DT,2.0,DT_Adult_native-country_2_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,2.0,mhe+te,TargetEncoder,Precision,0.6748724106874813,TargetEncoder,0.6828899637243047,0.9882593778460328
Adult,DT,2.0,DT_Adult_native-country_2_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,2.0,mhe+te,TargetEncoder,Recall,0.6272321428571429,TargetEncoder,0.6303013392857143,0.9951305887560868
Adult,DT,2.0,DT_Adult_native-country_2_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,2.0,mhe+te,TargetEncoder,F1,0.6501807664497469,TargetEncoder,0.6555426581543818,0.9918206822425092
Adult,DT,2.0,DT_Adult_native-country_2_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,2.0,mhe+te,TargetEncoder,Aver_precision,0.5144775367335233,TargetEncoder,0.5208516276275931,0.9877621753375276
